iter	Passed	Remaining
204	575	2230
205	577	2226
206	580	2222
207	583	2223
208	587	2224
209	590	2220
210	593	2217
211	597	2219
212	598	2209
213	599	2203
214	602	2198
215	604	2194
216	608	2195
217	611	2192
218	613	2189
219	617	2189
220	621	2192
221	625	2192
222	628	2188
223	629	2181
224	632	2179
225	635	2177
226	637	2171
227	640	2167
228	642	2163
229	648	2169
230	651	2167
231	653	2163
232	656	2162
233	658	2156
234	660	2150
235	663	2147
236	665	2143
237	668	2140
238	670	2134
239	673	2133
240	674	2125
241	676	2117
242	677	2109
243	679	2105
244	682	2103
245	686	2103
246	688	2100
247	691	2096
248	694	2093
249	696	2090
250	698	2083
251	700	2079
252	703	2077
253	706	2073
254	708	2070
255	712	2070
256	715	2068
257	717	2064
258	720	2061
259	723	2059
260	729	2065
261	732	2062
262	734	2059
263	738	2057
264	741	2056
265	743	2052
266	746	2049
267	749	2046
268	752	2045
269	755	2042
270	758	2039
271	760	2036
272	762	2030
273	765	2027
274	768	2026
275	771	2023
276	773	2019
277	777	2020
278	780	2016
279	782	2013
280	785	2009
281	788	2007
282	792	2008
283	795	2005
284	797	2001
285	800	1997
286	803	1996
287	806	1993
288	808	1989
289	811	1985
290	813	1982
291	817	1983
292	820	1979
293	823	1976
294	825	1972
295	829	1971
296	831	1968
297	834	1964
298	836	1960
299	838	1956
300	843	1958
301	844	1951
302	846	1947
303	848	1942
304	850	1938
305	854	1938
306	857	1935
307	859	1931
308	862	1928
309	864	1923
310	868	1923
311	870	1920
312	873	1916
313	875	1913
314	879	1912
315	883	1912
316	886	1909
317	888	1906
318	892	1904
319	895	1902
320	897	1898
321	900	1895
322	902	1891
323	904	1887
324	908	1886
325	913	1887
326	916	1885
327	920	1886
328	923	1882
329	925	1879
330	928	1877
331	935	1883
332	938	1879
333	941	1876
334	944	1875
335	947	1872
336	949	1868
337	952	1865
338	956	1864
339	959	1862
340	962	1860
341	963	1853
342	965	1849
343	969	1849
344	972	1846
345	976	1845
346	978	1842
347	981	1839
348	984	1836
349	987	1833
350	989	1829
351	991	1825
352	996	1826
353	999	1823
354	1001	1820
355	1004	1816
356	1007	1814
357	1010	1811
358	1014	1810
359	1016	1806
360	1017	1801
361	1021	1799
362	1023	1796
363	1026	1794
364	1029	1790
365	1031	1786
366	1035	1786
367	1038	1783
368	1041	1780
369	1043	1777
370	1046	1774
371	1049	1771
372	1051	1767
373	1053	1764
374	1055	1758
375	1057	1755
376	1061	1753
377	1063	1749
378	1065	1746
379	1067	1742
380	1070	1738
381	1073	1736
382	1075	1733
383	1079	1730
384	1081	1727
385	1085	1725
386	1088	1723
387	1090	1720
388	1092	1716
389	1094	1712
390	1097	1709
391	1114	1728
392	1117	1725
393	1119	1722
394	1122	1719
395	1128	1721
396	1131	1717
397	1133	1714
398	1136	1711
399	1139	1709
400	1142	1706
401	1144	1702
402	1145	1697
403	1148	1694
404	1151	1691
405	1153	1688
406	1156	1685
407	1159	1682
408	1160	1677
409	1163	1675
410	1166	1671
411	1168	1667
412	1170	1663
413	1172	1660
414	1175	1656
415	1177	1653
416	1180	1649
417	1182	1646
418	1184	1642
419	1187	1639
420	1189	1636
421	1192	1633
422	1195	1630
423	1197	1627
424	1200	1623
425	1202	1620
426	1205	1617
427	1207	1613
428	1210	1611
429	1212	1607
430	1215	1604
431	1217	1600
432	1219	1596
433	1221	1593
434	1223	1589
435	1225	1584
436	1227	1581
437	1229	1577
438	1232	1574
439	1234	1571
440	1236	1567
441	1238	1564
442	1240	1560
443	1243	1556
444	1245	1553
445	1247	1549
446	1250	1546
447	1252	1543
448	1254	1539
449	1256	1535
450	1259	1532
451	1261	1529
452	1263	1525
453	1264	1520
454	1267	1517
455	1268	1513
456	1271	1510
457	1273	1507
458	1275	1503
459	1277	1500
460	1279	1496
461	1282	1493
462	1285	1490
463	1287	1486
464	1289	1483
465	1291	1480
466	1294	1476
467	1296	1473
468	1298	1470
469	1300	1466
470	1302	1462
471	1304	1459
472	1306	1455
473	1309	1452
474	1310	1448
475	1312	1445
476	1314	1441
477	1316	1437
478	1318	1434
479	1321	1431
480	1323	1427
481	1325	1424
482	1327	1420
483	1329	1417
484	1331	1413
485	1333	1410
486	1335	1406
487	1337	1402
488	1338	1398
489	1340	1395
490	1341	1390
491	1343	1387
492	1346	1384
493	1348	1381
494	1350	1377
495	1352	1374
496	1354	1370
497	1356	1367
498	1359	1364
499	1361	1361
500	1362	1357
501	1364	1354
502	1366	1350
503	1369	1347
504	1371	1344
505	1373	1340
506	1374	1336
507	1376	1333
508	1378	1329
509	1380	1326
510	1383	1323
511	1385	1320
512	1387	1316
513	1389	1313
514	1391	1310
515	1393	1306
516	1395	1303
517	1397	1300
518	1399	1297
519	1401	1293
520	1404	1290
521	1406	1287
522	1408	1284
523	1411	1281
524	1413	1278
525	1415	1275
526	1417	1272
527	1420	1269
528	1422	1266
529	1424	1263
530	1426	1260
531	1428	1257
532	1431	1254
533	1433	1250
534	1435	1247
535	1437	1244
536	1438	1240
537	1440	1237
538	1443	1234
539	1445	1230
540	1447	1227
541	1449	1224
542	1451	1221
543	1452	1217
544	1453	1213
545	1455	1209
546	1457	1206
547	1458	1203
548	1461	1200
549	1463	1197
550	1465	1193
551	1467	1190
552	1469	1187
553	1471	1184
554	1473	1181
555	1475	1178
556	1477	1174
557	1479	1171
558	1479	1167
559	1481	1163
560	1482	1160
561	1485	1157
562	1486	1154
563	1488	1151
564	1490	1147
565	1492	1144
566	1494	1141
567	1496	1138
568	1498	1134
569	1500	1131
570	1502	1128
571	1502	1124
572	1504	1121
573	1506	1118
574	1508	1115
575	1510	1112
576	1511	1108
577	1515	1106
578	1517	1103
579	1518	1099
580	1520	1096
581	1523	1093
582	1525	1091
583	1527	1087
584	1528	1084
585	1530	1081
586	1532	1078
587	1534	1075
588	1536	1072
589	1538	1069
590	1540	1066
591	1542	1063
592	1544	1059
593	1546	1056
594	1548	1054
595	1550	1051
596	1553	1048
597	1555	1045
598	1556	1042
599	1558	1039
600	1561	1036
601	1563	1033
602	1566	1031
603	1567	1027
604	1569	1024
605	1571	1021
606	1573	1019
607	1575	1016
608	1577	1012
609	1579	1009
610	1581	1006
611	1583	1003
612	1585	1000
613	1587	997
614	1589	994
615	1590	991
616	1592	988
617	1594	985
618	1596	982
619	1599	980
620	1601	977
621	1603	974
622	1605	971
623	1607	968
624	1609	965
625	1611	962
626	1613	959
627	1615	956
628	1617	953
629	1619	950
630	1620	947
631	1622	944
632	1625	942
633	1627	939
634	1629	936
635	1631	933
636	1633	930
637	1635	927
638	1637	925
639	1639	922
640	1641	919
641	1643	916
642	1645	913
643	1647	910
644	1649	907
645	1651	904
646	1653	902
647	1655	899
648	1657	896
649	1659	893
650	1662	891
651	1664	888
652	1666	885
653	1669	883
654	1670	879
655	1672	877
656	1675	874
657	1677	871
658	1679	869
659	1681	866
660	1684	863
661	1686	861
662	1689	858
663	1691	855
664	1693	853
665	1695	850
666	1697	847
667	1700	844
668	1702	842
669	1704	839
670	1706	836
671	1709	834
672	1711	831
673	1712	828
674	1714	825
675	1717	822
676	1719	820
677	1721	817
678	1723	814
679	1725	812
680	1727	809
681	1729	806
682	1732	803
683	1734	801
684	1735	798
685	1737	795
686	1740	792
687	1742	790
688	1744	787
689	1746	784
690	1748	782
691	1751	779
692	1753	776
693	1755	774
694	1758	771
695	1760	768
696	1762	766
697	1765	763
698	1767	761
699	1770	758
700	1772	756
701	1775	753
702	1778	751
703	1780	748
704	1783	746
705	1785	743
706	1787	740
707	1789	738
708	1792	735
709	1794	733
710	1797	730
711	1799	727
712	1801	725
713	1803	722
714	1806	720
715	1809	717
716	1810	714
717	1812	711
718	1815	709
719	1817	706
720	1819	704
721	1822	701
722	1824	698
723	1825	695
724	1827	693
725	1829	690
726	1831	687
727	1833	684
728	1835	682
729	1837	679
730	1839	676
731	1841	674
732	1843	671
733	1845	668
734	1847	666
735	1849	663
736	1851	660
737	1853	657
738	1855	655
739	1858	652
740	1860	650
741	1861	647
742	1863	644
743	1866	642
744	1868	639
745	1870	636
746	1873	634
747	1876	632
748	1879	629
749	1881	627
750	1884	624
751	1887	622
752	1891	620
753	1894	618
754	1897	615
755	1899	613
756	1902	610
757	1904	608
758	1907	605
759	1910	603
760	1912	600
761	1915	598
762	1918	595
763	1920	593
764	1923	590
765	1926	588
766	1929	586
767	1932	583
768	1935	581
769	1937	578
770	1940	576
771	1942	573
772	1947	571
773	1949	569
774	1953	567
775	1956	564
776	1959	562
777	1965	560
778	1967	558
779	1971	556
780	1974	553
781	1978	551
782	1981	549
783	1990	548
784	1994	546
785	1997	543
786	1999	541
787	2002	538
788	2005	536
789	2008	534
790	2013	532
791	2016	529
792	2019	527
793	2022	524
794	2025	522
795	2028	519
796	2031	517
797	2034	514
798	2038	512
799	2042	510
800	2045	508
801	2048	505
802	2053	503
803	2056	501
804	2059	498
805	2063	496
806	2067	494
807	2070	491
808	2073	489
809	2076	487
810	2079	484
811	2092	484
812	2095	482
813	2101	480
814	2105	477
815	2109	475
816	2112	473
817	2116	470
818	2129	470
819	2133	468
820	2137	466
821	2140	463
822	2143	460
823	2146	458
824	2150	456
825	2153	453
826	2156	451
827	2159	448
828	2164	446
829	2167	444
830	2170	441
831	2175	439
832	2179	436
833	2183	434
834	2187	432
835	2190	429
836	2193	427
837	2197	424
838	2200	422
839	2203	419
840	2206	417
841	2210	414
842	2213	412
843	2216	409
844	2219	407
845	2225	405
846	2228	402
847	2232	400
848	2235	397
849	2239	395
850	2242	392
851	2246	390
852	2250	387
853	2253	385
854	2256	382
855	2260	380
856	2263	377
857	2266	375
858	2269	372
859	2273	370
860	2277	367
861	2280	365
862	2283	362
863	2286	359
864	2290	357
865	2295	355
866	2297	352
867	2301	349
868	2305	347
869	2308	344
870	2311	342
871	2314	339
872	2318	337
873	2321	334
874	2324	332
875	2327	329
876	2331	326
877	2334	324
878	2338	321
879	2342	319
880	2345	316
881	2349	314
882	2352	311
883	2355	309
884	2358	306
885	2361	303
886	2364	301
887	2369	298
888	2373	296
889	2376	293
890	2379	291
891	2383	288
892	2386	285
893	2389	283
894	2392	280
895	2396	278
896	2399	275
897	2403	273
898	2407	270
899	2410	267
900	2413	265
901	2419	262
902	2421	260
903	2424	257
904	2428	254
905	2432	252
906	2435	249
907	2438	247
908	2443	244
909	2446	241
910	2449	239
911	2453	236
912	2457	234
913	2460	231
914	2463	228
915	2467	226
916	2471	223
917	2475	221
918	2481	218
919	2485	216
920	2490	213
921	2494	211
922	2498	208
923	2501	205
924	2508	203
925	2512	200
926	2515	198
927	2519	195
928	2525	193
929	2530	190
930	2534	187
931	2537	185
932	2541	182
933	2545	179
934	2549	177
935	2553	174
936	2556	171
937	2561	169
938	2564	166
939	2567	163
940	2573	161
941	2576	158
942	2582	156
943	2586	153
944	2589	150
945	2593	148
946	2595	145
947	2599	142
948	2606	140
949	2609	137
950	2614	134
951	2620	132
952	2624	129
953	2628	126
954	2632	124
955	2636	121
956	2641	118
957	2644	115
958	2648	113
959	2652	110
960	2657	107
961	2707	106
962	2718	104
963	2725	101
964	2729	98
965	2733	96
966	2737	93
967	2740	90
968	2745	87
969	2749	85
970	2752	82
971	2756	79
972	2760	76
973	2764	73
974	2767	70
975	2771	68
976	2775	65
977	2778	62
978	2781	59
979	2786	56
980	2789	54
981	2792	51
982	2795	48
983	2801	45
984	2805	42
985	2808	39
986	2810	37
987	2814	34
988	2817	31
989	2820	28
990	2822	25
991	2826	22
992	2829	19
993	2833	17
994	2835	14
995	2840	11
996	2843	8
997	2846	5
998	2848	2
999	2852	0
